"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr251","IRATI - Herbário da Universidade Estadual do Centro-Oeste","","Herbário da UNICENTRO - IRATI. Version 1.105. Universidade Estadual do Centro-Oeste. Occurrence dataset. https://ipt.sibbr.gov.br/taxonline/resource?r=herb_irati&amp;v=1.105","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr251","","","","108"
"in54","Universidade Regional de Blumenau","","Records provided by Universidade Regional de Blumenau, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in54","","","","33"
"dr254","Herbário MAC do Instituto do Meio Ambiente","","Records provided by Herbário MAC do Instituto do Meio Ambiente, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr254","","","","22"
"dr253","Herbário do Instituto de Biociências da Universidade Federal do Rio Grande do Sul","","Herbário do Instituto de Biociências da Universidade Federal do Rio Grande do Sul (ICN)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by/4.0/legalcode""><citetitle>Creative Commons Attribution (CC-BY) 4.0</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr253","","","","7770"
"in56","Universidade Federal do Rio Grande do Sul","","Records provided by Universidade Federal do Rio Grande do Sul, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in56","","","","7770"
"dr495","Herbário da Universidade Federal de Jataí","","de Souza L F, Amaral E (2023): HJ - Herbário da Universidade Federal de Jataí. Jabot - Banco de Dados da Flora Brasileira. v1.34. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=hj_herbarium&v=1.34","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr495","","","","8"
"co192","Herbário da Universidade Estadual de Maringá","","Records provided by Herbário da Universidade Estadual de Maringá, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co192","","","","1281"
"dr259","Herbário Alexandre Leal Costa da UFBA","","Records provided by Herbário Alexandre Leal Costa da UFBA, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr259","","","","567"
"in90","Reserva Natural Vale","","Records provided by Reserva Natural Vale, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in90","","","","1"
"dr290","Programa SinBiota da FAPESP","","Programa SinBiota da FAPESP","Creative Commons Zero (CC0) To the extent possible under law, the publisher has waived all rights to these data and has dedicated them to the Public Domain (CC0 1.0). Users may copy, modify, distribute and use the work, including for commercial purposes, without restriction.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr290","","","","519"
"dr289","Herbário do Instituto Agronômico de Campinas","","IAC (Instituto Agronômico). s/d, continuamente atualizado. Herbário IAC On-line. hhttp://herbario.iac.sp.gov.br/. [informar a data da última consulta]","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr289","","","","737"
"in84","Jardim Botânico Plantarum","","Records provided by Jardim Botânico Plantarum, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in84","","","","38"
"dr288","Herbário do Maranhão","","Herbário MAR","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr288","","","","5"
"in86","Universidade Federal do Maranhão","","Records provided by Universidade Federal do Maranhão, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in86","","","","5"
"in87","Instituto Agronômico de Campinas","","Records provided by Instituto Agronômico de Campinas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in87","","","","741"
"in147","Embrapa Semiárido","","Records provided by Embrapa Semiárido, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in147","","","","103"
"dr287","Herbário - IPA Dárdano de Andrade Lima","","IPA - Herbário - IPA Dárdano de Andrade Lima","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr287","","","","48"
"in89","Universidade de Caxias do Sul","","Records provided by Universidade de Caxias do Sul, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in89","","","","3401"
"dr286","Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","","Créditos ou citação das imagens do Herbário do Instituto de Botânica (SP): Uma vez concedida a permissão de uso da imagem, a seguinte referência deve aparecer na página da web ou publicação: Esta imagem pertence ao Herbário do Instituto de Botânica, São Paulo, Brasil.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr286","","","","777"
"in80","Universidade Federal do Vale do São Francisco","","Records provided by Universidade Federal do Vale do São Francisco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in80","","","","12"
"in82","Instituto Agronômico de Pernambuco","","Records provided by Instituto Agronômico de Pernambuco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in82","","","","49"
"dr278","Herbário Centro Norte Mato Grossense","","Herbário Centro Norte Mato Grossense (CNMT)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr278","","","","86"
"in73","Universidade Estadual do Maranhão","","Records provided by Universidade Estadual do Maranhão, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in73","","","","66"
"in131","Universidade Federal Rural do Rio de Janeiro","","Records provided by Universidade Federal Rural do Rio de Janeiro, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in131","","","","2"
"in72","Instituto de Pesquisas Ambientais","","Records provided by Instituto de Pesquisas Ambientais, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in72","","","","3038"
"dr277","Herbário Leopoldo Krieger","","Herbário CESJ","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr277","","","","453"
"in75","Universidade Federal Rural de Pernambuco","","Records provided by Universidade Federal Rural de Pernambuco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in75","","","","26"
"in77","Pontifícia Universidade Católica do Rio Grande do Sul","","Records provided by Pontifícia Universidade Católica do Rio Grande do Sul, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in77","","","","14658"
"dr273","Herbário UFMG - Samambaias e Licófitas","","Herbário UFMG - Samambaias e Licófitas, BHCB-SL","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr273","","","","438"
"dr276","Herbário da Universidade Estadual de Londrina","","Herbário da Universidade Estadual de Londrina(http://www.uel.br/ccb/bav/herbario)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr276","","","","2917"
"in79","Universidade Federal da Fronteira Sul","","Records provided by Universidade Federal da Fronteira Sul, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in79","","","","794"
"in133","Universidade Federal de Jataí","","Records provided by Universidade Federal de Jataí, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in133","","","","3"
"dr275","Herbário CPAP","","Herbário CPAP da Embrapa Pantanal","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr275","","","","272"
"co156","Herbário Maria Eneyda P. Kaufmann Fidalgo","","Records provided by Herbário Maria Eneyda P. Kaufmann Fidalgo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co156","","","","3038"
"co157","Herbário Dárdani de Andrade Lima","","Records provided by Herbário Dárdani de Andrade Lima, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co157","","","","49"
"co278","Herbario Jataiense","","Records provided by Herbario Jataiense, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co278","","","","3"
"co154","Herbário Leopoldo Krieger","","Records provided by Herbário Leopoldo Krieger, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co154","","","","453"
"co152","Herbário da Embrapa Pantanal","","Records provided by Herbário da Embrapa Pantanal, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co152","","","","272"
"co153","Herbário da UEL","","Records provided by Herbário da UEL, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co153","","","","2917"
"co274","Coleção Ictiológica do Laboratório de Ecologia de Peixes da UFRRJ","","Records provided by Coleção Ictiológica do Laboratório de Ecologia de Peixes da UFRRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co274","","","","2"
"co150","Herbário Vale do São Francisco","","Records provided by Herbário Vale do São Francisco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co150","","","","12"
"dr467","Base de dados da CICG da FURB","","Records provided by Base de dados da CICG da FURB, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC)","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr467","","","","33"
"dr224","CNCFlora - Livro Vermelho 2013 - Ocorrências","","Records provided by CNCFlora - Livro Vermelho 2013 - Ocorrências, accessed through ALA website.","Creative Commons Zero (CC0) To the extent possible under law, the publisher has waived all rights to these data and has dedicated them to the Public Domain (CC0 1.0). Users may copy, modify, distribute and use the work, including for commercial purposes, without restriction.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr224","","","","14213"
"dr466","Herbário Lages da Universidade do Estado de Santa Catarina","","Bortoluzzi R L D C (2023): LUSC - Herbário Lages da Universidade do Estado de Santa Catarina. Jabot - Banco de Dados da Flora Brasileira. v1.41. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=lusc&v=1.41","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr466","","","","1007"
"dr460","Amostras Brasileiras Repatriadas - S herbarium - Naturhistoriska Riksmuseet - Reflora","","Forzza R (2021): S herbarium - Naturhistoriska Riksmuseet - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA. v1.194. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Dataset/Occurrence. http://ipt.jbrj.gov.br/reflora/resource?r=s_reflora&v=1.194","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr460","","","","41"
"dr342","Herbário Ezechias Paulo Heringer - HEPH","","Records provided by Herbário Ezechias Paulo Heringer - HEPH, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr342","","","","127"
"dr469","Herbário da Universidade Federal Rural do Rio de Janeiro","","Souza M D C, Somner G V, Santos N D D, Braz D M, Lima S S D, Jacques E D L, Souza M D C (2023): RBR - Herbário da Universidade Federal Rural do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira. v1.40. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=rbr&v=1.40","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr469","","","","23"
"dr229","Herbário Lauro Pires Xavier","","Herbario da Universidade Federal da Paraíba, JPB","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr229","","","","14"
"dr228","US herbarium - Smithsonian Institute - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","","Forzza R (2016): US herbarium - Smithsonian Institute - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA. v1.90. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Dataset/Occurrence. http://ipt.jbrj.gov.br/reflora/resource?r=us_reflora&v=1.90","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr228","","","","786"
"co145","Herbário Irina Delanova Gemtchújnicov","","Records provided by Herbário Irina Delanova Gemtchújnicov, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co145","","","","181"
"co143","Herbário Evaldo Buttura da UNILA","","Records provided by Herbário Evaldo Buttura da UNILA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co143","","","","375"
"co141","Herbário Uberlandense","","Records provided by Herbário Uberlandense, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co141","","","","155"
"co142","Herbário da ESALQ","","Records provided by Herbário da ESALQ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co142","","","","22"
"co140","Herbário do Centro de Pesquisas do Cacau","","Records provided by Herbário do Centro de Pesquisas do Cacau, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co140","","","","67"
"in118","Instituto Brasileiro de Geografia e Estatística","","Records provided by Instituto Brasileiro de Geografia e Estatística, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in118","","","","1138"
"co149","Herbário da Universidade Federal do Rio Grande do Norte","","Records provided by Herbário da Universidade Federal do Rio Grande do Norte, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co149","","","","24"
"co148","Coleção Biológica Realeza","","Records provided by Coleção Biológica Realeza, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co148","","","","794"
"dr335","Herbário Caririense Dárdano de Andrade-Lima","","Herbário Caririense Dárdano de Andrade-Lima, HCDAL, URCA","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr335","","","","5"
"in96","Universidade Estadual de Maringá","","Records provided by Universidade Estadual de Maringá, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in96","","","","4767"
"dr455","MBML-Peixes - Coleção de Peixes","","Coleção de Peixes – MBML, do Instituto Nacional da Ma ta Atlântica","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr455","","","","2"
"in114","Universidade da Região de Joinville","","Records provided by Universidade da Região de Joinville, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in114","","","","47"
"dr691","DCBU - Coleção Taxonômica do Departamento de Ecologia e Biologia Evolutiva da UFSCar","","Coleção Taxonômica do Departamento de Ecologia e Biologia Evolutiva da Universidade Federal de São Carlos, DCBU.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr691","","","","20"
"dr331","Herbário do Museu da Pontifícia Universidade Católica do Rio Grande do Sul","","Herbário do Museu de Ciências e Tecnologia da PUCRS, MPUC","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr331","","","","6284"
"dr572","Herbário da Universidade de Tocantins","","Herbário HUTO da Universidade do Tocantins","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr572","","","","70"
"dr330","Herbário Nova Xavantina (Criptogamos)","","Herbário NX, UNEMAT, campus de-Nova Xavantina-MT","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr330","","","","5"
"dr451","MBML-Anfibios - Coleção de Anfíbios MBML","","Coleção de Anfíbios – MBML, do Instituto Nacional da Mata Atlântica","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr451","","","","1"
"dr337","Herbário Prisco Bezerra","","Herbário Prisco Bezerra-EAC","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr337","","","","10"
"dr457","Base de dados do Herbário Evaldo Buttura","","Records provided by Base de dados do Herbário Evaldo Buttura, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr457","","","","375"
"dr336","Herbário Friburguense","","Herbário Friburguense, FCAB","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr336","","","","32"
"dr338","Herbário da Fundação Universidade Federal de Mato Grosso do Sul. Jabot - Banco de Dados da Flora Brasileira","","Records provided by Herbário da Fundação Universidade Federal de Mato Grosso do Sul. Jabot - Banco de Dados da Flora Brasileira, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr338","","","","2180"
"co178","Herbário Nova Xavantina","","Records provided by Herbário Nova Xavantina, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co178","","","","5"
"co179","Herbário do Museu de Ciências e Tecnologia PUCRS","","Records provided by Herbário do Museu de Ciências e Tecnologia PUCRS, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co179","","","","6284"
"co176","Herbário Professor Vasconcelos Sobrinho","","Records provided by Herbário Professor Vasconcelos Sobrinho, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co176","","","","18"
"co174","Herbário Rosa Mochel","","Records provided by Herbário Rosa Mochel, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co174","","","","66"
"co175","Herbário R do MNRJ","","Records provided by Herbário R do MNRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co175","","","","40"
"co172","Herbário da Reserva Natural Vale","","Records provided by Herbário da Reserva Natural Vale, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co172","","","","1"
"co173","Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade","","Records provided by Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co173","","","","116"
"dr250","Herbário da Pontifícia Universidade Católica do Paraná","","Herbário da Pontifícia Universidade Católica do Paraná - HUCP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr250","","","","723"
"in108","Museu de Ciências Univates","","Records provided by Museu de Ciências Univates, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in108","","","","8736"
"dr245","Herbário da Universidade Estadual de Campinas","","UEC - Herbário da Universidade Estadual de Campinas","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr245","","","","2753"
"dr247","UB - Herbário da Universidade de Brasília","","Oliveira R C D, Cemin D (2023). UB - Herbário da Universidade de Brasília. Jabot - Banco de Dados da Flora Brasileira. Version 1.36. No organisation. Occurrence dataset. https://ipt.jbrj.gov.br/jabot/resource?r=hub&v=1.36","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr247","","","","3037"
"dr246","Embrapa Amazônia Oriental - Instituto Agronômico do Norte (Herbário IAN)","","RAIOL SOUZA H J (2016): Embrapa Amazônia Oriental - Instituto Agronômico do Norte (Herbário IAN). v1.6. No organisation. Dataset/Occurrence. https://ipt.sibbr.gov.br/parceiros_jbrj/resource?r=ian_13&v=1.6","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr246","","","","5"
"in102","Universidade do Vale do Rio dos Sinos","","Records provided by Universidade do Vale do Rio dos Sinos, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in102","","","","1655"
"dr483","Coleção Ictiológica do LEP-UFRRJ","","Araújo F G, Guedes G (2020): Coleção Ictiológica do LEP-UFRRJ. v1.5. Sistema de Informação sobre a Biodiversidade Brasileira - SiBBr. Dataset/Occurrence. https://ipt.sibbr.gov.br/sibbr/resource?r=sibbr_lepufrrj&v=1.5","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr483","","","","2"
"dr243","ASE - Herbário da Universidade Federal de Sergipe","","ASE - Herbário da Universidade Federal de Sergipe, Departamento de Biologia","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr243","","","","565"
"in100","Universidade do Estado do Pará","","Records provided by Universidade do Estado do Pará, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in100","","","","68"
"dr242","MBM - Herbário do Museu Botânico Municipal","","Herbário do Museu Botânico Municipal de Curitiba, MBM","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr242","","","","1567"
"dr249","Herbário Rondoniense João Geraldo Kuhlmann","","Records provided by Herbário Rondoniense João Geraldo Kuhlmann, accessed through ALA website.","This work is licensed under a <ulink url=""https://creativecommons.org/publicdomain/zero/1.0/legalcode""><citetitle>Public Domain (CC0 1.0)</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr249","","","","7"
"dr248","COR - Herbário da Universidade Federal de Mato Grosso do Sul","","Farinaccio M A (2023): COR - Herbário da Universidade Federal de Mato Grosso do Sul / Campus Pantanal. Jabot - Banco de Dados da Flora Brasileira. v1.41. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=cor&v=1.41","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr248","","","","21"
"co168","Herbário Escola de Florestas Curitiba","","Records provided by Herbário Escola de Florestas Curitiba, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co168","","","","10086"
"co166","Herbário da Universidade de Caxias do Sul","","Records provided by Herbário da Universidade de Caxias do Sul, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co166","","","","3401"
"co163","Herbário do Instituto Agronômico de Campinas","","Records provided by Herbário do Instituto Agronômico de Campinas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co163","","","","741"
"co161","Herbário do Jardim Botânico Plantarum","","Records provided by Herbário do Jardim Botânico Plantarum, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co161","","","","38"
"co162","Herbário do Maranhão","","Records provided by Herbário do Maranhão, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co162","","","","5"
"dr475","Herbário IBGE","","Fonseca M D L, Guimarães L, Góes B T (2023). IBGE - Herbário IBGE. Jabot - Banco de Dados da Flora Brasileira. Version 1.48. No organisation. Occurrence dataset. https://ipt.jbrj.gov.br/jabot/resource?r=ibge&v=1.48","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr475","","","","2048"
"dr233","K herbarium - Royal Botanic Gardens, Kew - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","","Paton A (2023): K herbarium - Royal Botanic Gardens, Kew - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA. v1.220. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Dataset/Occurrence. https://ipt.jbrj.gov.br/reflora/resource?r=k_reflora&v=1.220","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr233","","","","7"
"dr236","Universidade Federal do Paraná","","Records provided by Universidade Federal do Paraná, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr236","","","","3988"
"dr478","Base de dados de Aves do MZUSP","","Records provided by Base de dados de Aves do MZUSP, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr478","","","","134"
